Sat Feb  4 04:27:31 2023    ../../results/profiler/profiler.pstats

         362061277 function calls (361016368 primitive calls) in 206.539 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.000    0.000 {pandas._libs.algos.ensure_int16}
    78829    0.089    0.000    0.089    0.000 {pandas._libs.algos.ensure_int64}
      185    0.001    0.000    0.001    0.000 {pandas._libs.algos.take_1d_int64_int64}
      560    0.002    0.000    0.002    0.000 {pandas._libs.algos.take_2d_axis0_int64_int64}
    10938    0.047    0.000    0.047    0.000 {pandas._libs.algos.take_2d_axis1_int64_int64}
    10972    0.075    0.000    0.075    0.000 {pandas._libs.algos.take_2d_axis0_float64_float64}
    22562    0.099    0.000    0.099    0.000 {pandas._libs.algos.take_2d_axis1_float64_float64}
        1    0.000    0.000    0.000    0.000 {pandas._libs.algos.take_1d_object_object}
    10972    0.028    0.000    0.028    0.000 {pandas._libs.algos.take_2d_axis0_object_object}
    22562    0.091    0.000    0.091    0.000 {pandas._libs.algos.take_2d_axis1_object_object}
    75613    0.122    0.000    0.122    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
      156    0.002    0.000    0.003    0.000 {method 'get_indexer' of 'pandas._libs.index.IndexEngine' objects}
       24    0.000    0.000    0.000    0.000 {built-in method unicodedata.category}
        8    0.002    0.000    0.002    0.000 {built-in method unicodedata.name}
       12    0.000    0.000    0.000    0.000 {method 'close' of 'pandas._libs.parsers.TextReader' objects}
       12    0.062    0.005    0.079    0.007 {method 'read' of 'pandas._libs.parsers.TextReader' objects}
      880    0.017    0.000    0.019    0.000 {built-in method matplotlib._path.point_in_path}
      294    0.003    0.000    0.004    0.000 {built-in method matplotlib._path.update_path_extents}
     5303    0.011    0.000    0.011    0.000 {built-in method matplotlib._path.affine_transform}
        3    0.001    0.000    0.001    0.000 {built-in method PIL._imaging.fill}
        3    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.zip_encoder}
        3    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.map_buffer}
        6    0.000    0.000    0.000    0.000 {method 'pixel_access' of 'ImagingCore' objects}
        3    0.011    0.004    0.011    0.004 {method 'copy' of 'ImagingCore' objects}
        6    0.587    0.098    0.587    0.098 {method 'encode' of 'ImagingEncoder' objects}
        3    0.000    0.000    0.000    0.000 {method 'cleanup' of 'ImagingEncoder' objects}
        3    0.000    0.000    0.000    0.000 {method 'setimage' of 'ImagingEncoder' objects}
      275    0.017    0.000    0.034    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       55    0.002    0.000    0.003    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      152    0.009    0.000    0.010    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     1367    0.005    0.000    0.005    0.000 {method 'clear' of 'matplotlib.ft2font.FT2Font' objects}
     1549    0.001    0.000    0.001    0.000 {method 'set_size' of 'matplotlib.ft2font.FT2Font' objects}
      420    0.000    0.000    0.000    0.000 {method 'get_kerning' of 'matplotlib.ft2font.FT2Font' objects}
     1367    0.210    0.000    0.210    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      174    0.007    0.000    0.007    0.000 {method 'load_char' of 'matplotlib.ft2font.FT2Font' objects}
     1219    0.001    0.000    0.001    0.000 {method 'get_width_height' of 'matplotlib.ft2font.FT2Font' objects}
      148    0.000    0.000    0.000    0.000 {method 'get_bitmap_offset' of 'matplotlib.ft2font.FT2Font' objects}
     1367    0.000    0.000    0.000    0.000 {method 'get_descent' of 'matplotlib.ft2font.FT2Font' objects}
      148    0.007    0.000    0.007    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
      444    0.002    0.000    0.002    0.000 {method 'draw_glyph_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
      174    0.018    0.000    0.018    0.000 {method 'get_glyph_name' of 'matplotlib.ft2font.FT2Font' objects}
      348    0.000    0.000    0.000    0.000 {method 'get_char_index' of 'matplotlib.ft2font.FT2Font' objects}
        8    0.000    0.000    0.000    0.000 {method 'get_sfnt_table' of 'matplotlib.ft2font.FT2Font' objects}
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(acquire)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:156(__enter__)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
     15/6    0.000    0.000    0.014    0.002 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
      100    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:385(cached)
      232    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:398(parent)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
     10/6    0.000    0.000    0.015    0.002 <frozen importlib._bootstrap>:659(_load_unlocked)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
       90    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
       90    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:892(_find_spec_legacy)
       11    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:901(_find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:948(_sanity_check)
     11/6    0.000    0.000    0.016    0.003 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
     11/6    0.000    0.000    0.016    0.003 <frozen importlib._bootstrap>:1002(_find_and_load)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1018(_gcd_import)
83210/83205    0.123    0.000    0.173    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
       36    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:301(cache_from_source)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:431(_get_cached)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:463(_check_name_wrapper)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:500(_classify_pyc)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:533(_validate_timestamp_pyc)
       10    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:585(_compile_bytecode)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:636(spec_from_file_location)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:781(create_module)
     10/6    0.000    0.000    0.015    0.002 <frozen importlib._bootstrap_external>:784(exec_module)
       10    0.000    0.000    0.009    0.001 <frozen importlib._bootstrap_external>:856(get_code)
